ticker,company
ABEV3.SA,Ambev S.A.
ALOS3.SA,Allos S.A.
AMOB3.SA,Automob Participações S.A.
ASAI3.SA,Sendas Distribuidora S.A.
AURE3.SA,Auren Energia S.A.
AZUL4.SA,Azul S.A.
AZZA3.SA,Azzas 2154 S.A.
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão"
BBAS3.SA,Banco do Brasil S.A.
BBDC3.SA,Banco Bradesco S.A.
BBDC4.SA,Banco Bradesco S.A.
BBSE3.SA,BB Seguridade Participações S.A.
BEEF3.SA,Minerva S.A.
BPAC11.SA,Banco BTG Pactual S.A.
BRAP4.SA,Bradespar S.A.
BRAV3.SA,Brava Energia S.A.
BRFS3.SA,BRF S.A.
BRKM5.SA,Braskem S.A.
CCRO3.SA,CCR S.A.
CMIG4.SA,Companhia Energética de Minas Gerais - Cemig
CMIN3.SA,CSN Mineração S.A.
COGN3.SA,Cogna Educação S.A.
CPFE3.SA,CPFL Energia S.A.
CPLE6.SA,Companhia Paranaense de Energia - Copel
CRFB3.SA,Atacadão S.A.
CSAN3.SA,Cosan S.A.
CSNA3.SA,Companhia Siderúrgica Nacional
CVCB3.SA,CVC Brasil Operadora e Agência de Viagens S.A.
CXSE3.SA,Caixa Seguridade Participações S.A.
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações
EGIE3.SA,Engie Brasil Energia S.A.
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobras
ELET6.SA,Centrais Elétricas Brasileiras S.A. - Eletrobras
EMBR3.SA,Embraer S.A.
ENEV3.SA,Eneva S.A.
ENGI11.SA,Energisa S.A.
EQTL3.SA,Equatorial Energia S.A.
FLRY3.SA,Fleury S.A.
GGBR4.SA,Gerdau S.A.
GOAU4.SA,Metalúrgica Gerdau S.A.
HAPV3.SA,Hapvida Participações e Investimentos S.A.
HYPE3.SA,Hypera S.A.
IGTI11.SA,Iguatemi S.A.
IRBR3.SA,IRB-Brasil Resseguros S.A.
ISAE4.SA,ISA Energia Brasil S.A.
ITSA4.SA,Itaúsa S.A.
ITUB4.SA,Itaú Unibanco Holding S.A.
JBSS3.SA,JBS S.A.
KLBN11.SA,Klabin S.A.
LREN3.SA,Lojas Renner S.A.
LWSA3.SA,LWSA S.A.
MGLU3.SA,Magazine Luiza S.A.
MRFG3.SA,Marfrig Global Foods S.A.
MRVE3.SA,MRV Engenharia e Participações S.A.
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.
NTCO3.SA,Natura &Co Holding S.A.
PCAR3.SA,Companhia Brasileira de Distribuição
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras
PETZ3.SA,Pet Center Comércio e Participações S.A.
POMO4.SA,Marcopolo S.A.
PRIO3.SA,PRIO S.A.
PSSA3.SA,Porto Seguro S.A.
RADL3.SA,Raia Drogasil S.A.
RAIL3.SA,Rumo S.A.
RAIZ4.SA,Raízen S.A.
RDOR3.SA,Rede D'Or São Luiz S.A.
RECV3.SA,PetroReconcavo S.A.
RENT3.SA,Localiza Rent a Car S.A.
SANB11.SA,Banco Santander (Brasil) S.A.
SBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - Sabesp
SLCE3.SA,SLC Agrícola S.A.
SMTO3.SA,São Martinho S.A.
STBP3.SA,Santos Brasil Participações S.A.
SUZB3.SA,Suzano S.A.
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.
TIMS3.SA,TIM S.A.
TOTS3.SA,TOTVS S.A.
UGPA3.SA,Ultrapar Participações S.A.
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas
VALE3.SA,Vale S.A.
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A."
VBBR3.SA,Vibra Energia S.A.
VIVA3.SA,Vivara Participações S.A.
VIVT3.SA,Telefônica Brasil S.A.
WEGE3.SA,WEG S.A.
YDUQ3.SA,YDUQS Participações S.A.
